,1,2,3,4,5,6,7,8,9
intercept,1.7109916594241548,-1.027126298366697,1.3383259996114,0.5433198436945614,-1.332571649951721,-2.87831528246324,-2.7029799948126954,-4.655653381948216,0.1829244274165429
Twb,8.544879543233912e-20,-5.708655033463158e-20,4.313419936393107e-19,5.252259515762904e-19,2.113538379710138e-22,1.557170993263629e-19,1.1101625947462617e-19,-2.3047447566056568e-19,1.6422546481253882e-20
Twb_sq,2.1626057008235472e-16,3.5499184598174645e-17,1.5031378919339033e-15,-5.635868672786223e-16,7.246647388507626e-17,8.026714308010198e-16,1.0980027142937896e-17,-1.9709113135429077e-16,2.0995991607319337e-16
Tr,1.422466073222754e-05,1.8899006893678502e-05,-2.7185911980492824e-05,-8.079491876878866e-06,1.7531132735699348e-06,-7.607423199148434e-05,-4.299525411343448e-05,-5.283085127813122e-05,-2.1624422221224527e-05
Twb*Tr,0.0002406812595963606,0.0003197711966428862,-0.0004599856307045883,-0.0001367050025522288,2.9662676582500886e-05,-0.001287176005352224,-0.0007274796995932136,-0.0008938980036345581,-0.00036588522398185887
Twb_sq*Tr,0.004072326912365852,0.005410528647191391,-0.007782956871542322,-0.002313048643189737,0.0005018924877697343,-0.021779018010517043,-0.012308956517124225,-0.01512475422146277,-0.006190777989797828
Tr_sq,-7.496520030464353e-07,-1.062427489877112e-06,9.668695210350394e-06,4.011467811478569e-06,2.68189957589493e-06,-1.4087966171161831e-05,-6.063371426208041e-06,-5.5650050623692556e-06,-3.6504723022966743e-06
Twb*Tr_sq,-1.268411189048627e-05,-1.797627312927167e-05,0.0001635943229599401,6.787403537177766e-05,4.537774082608959e-05,-0.00023836838761499731,-0.0001025922445319984,-9.41598856534529e-05,-6.176599135495019e-05
Twb_sq*Tr_sq,-0.00021461517318701142,-0.0003041585413500521,0.002768015944478428,0.0011484286784878023,0.0007677913747801137,-0.0040331931184423965,-0.0017358607774817635,-0.0015931852652588609,-0.001045080573723724
LGratio,-3.5817162077203464e-05,1.0710332297463899e-05,-5.525388328061522e-05,-3.258663902941908e-05,1.0089831980154245e-06,3.8396374874349156e-05,2.2037426824991637e-05,-2.135794494784325e-06,-8.501718582393481e-05
Twb*LGratio,-0.0006060263823458466,0.00018121882247233145,-0.0009348957051081584,-0.0005513659323778826,1.707199571023575e-05,0.0006496666628720952,0.0003728732618785423,-3.613764285204866e-05,-0.001438490784140993
Twb_sq*LGratio,-0.010253966389291795,0.003066222476231842,-0.01581843533043013,-0.00932911157583405,0.00028885816741709344,0.0109923599357959,0.006309015590985243,-0.0006114489170564097,-0.024339264067665557
Tr*LGratio,-3.5983510038789324e-05,-4.028760844567442e-05,5.3565237486390694e-05,2.103956992810181e-05,8.30688650293447e-06,0.00010169943916077185,4.064423210641576e-05,2.4702223141028568e-05,-3.258349317703085e-05
Twb*Tr*LGratio,-0.0006088409898563295,-0.0006816663349008008,0.0009063238182697781,0.0003559895231835121,0.00014055251962966772,0.0017207545106001933,0.0006877004072405481,0.00041796161554619757,-0.0005513127045553757
Twb_sq*Tr*LGratio,-0.01030158954836868,-0.01153379438652129,0.01533499900512417,0.006023342732264555,0.0023781486321330296,0.029115166319357646,0.011635890890510037,0.007071910535041856,-0.009328210961076663
Tr_sq*LGratio,3.872297209315677e-06,3.903797932533447e-06,-1.4103431321508283e-05,-7.744417217759104e-06,-6.178109455202026e-06,2.902826405831849e-05,1.3045510455469131e-05,6.399200209241689e-06,2.9150239774959387e-06
Twb*Tr_sq*LGratio,6.551926878154741e-05,6.605226101841559e-05,-0.00023863005795987313,-0.00013103553932445935,-0.00010453361198189091,0.0004911582278660483,0.00022073003690647777,0.00010827446754044527,4.932220569918648e-05
Twb_sq*Tr_sq*LGratio,0.0011085860277837418,0.001117604256433351,-0.004037620580681171,-0.0022171213253698624,-0.0017687087147375193,0.008310397215483661,0.0037347522244585026,0.0018320039907844664,0.0008345317204315635
LGratio_sq,3.6170563638902577e-06,-1.0656686736196568e-05,1.3726803641395154e-05,1.252734896873629e-05,7.214839289853382e-06,-3.442793429428149e-05,-6.0425038845171215e-06,-1.434604683595692e-06,2.6771928355758385e-05
Twb*LGratio_sq,6.120059367701686e-05,-0.00018031113957644947,0.0002322575176124059,0.0002119627445510051,0.00012207508078428898,-0.0005825206482594443,-0.00010223916572607788,-2.427351124640926e-05,0.0004529810277794189
Twb_sq*LGratio_sq,0.0010355140450151053,-0.0030508644816338165,0.003929797198002216,0.003586409637802947,0.0020655103668702256,-0.009856249368546855,-0.0017298866840851602,-0.0004107078102895673,0.007664438990028068
Tr*LGratio_sq,0.0043531895696888685,0.004569156999440044,-0.004417341044265888,-0.00418308803740465,-0.004484089119354403,-0.015372112015814928,-0.004443977930932398,-0.003607977993816943,0.0025341121933028826
Twb*Tr*LGratio_sq,0.07365596751913571,0.07731013643052562,-0.07474141046897897,-0.07077784959288672,-0.0758707878994764,-0.2600961353075888,-0.07519210659137605,-0.061046987655382655,0.04287717831068482
Tr_sq*LGratio_sq,-1.144476493716308e-06,-1.0800898401128689e-06,3.768531899527923e-06,4.743210543218859e-06,4.981238327608088e-06,-1.4809371497218079e-05,-5.750920599575578e-06,-2.766688781108385e-06,-1.9650022265253485e-06
Twb*Tr_sq*LGratio_sq,-1.936454227373808e-05,-1.8275120094407143e-05,6.376355974039778e-05,8.025512239091271e-05,8.428255250314843e-05,-0.0002505745657320001,-9.730557654491177e-05,-4.681237417622936e-05,-3.3247837672810194e-05
