,1,2,3,4,5,6,7,8,9
intercept,-8998261877230.688,-5.508731198908967,65815896976.27307,-16.679259145278795,-17.487885441074454,-425313849163.91327,10009802744670.86,-23.32386402794892,14703342840331.465
FRair,-82158474.25351954,0.0009910231987922177,1343.1689878421917,0.001110193196292666,0.0011290668676668862,4601.26058330975,76340226.56104735,0.0012187848269824034,-5604754.798821678
FRair_sq,-42377675112.44529,-0.47906215658609774,101724.85920380171,-0.4774928324879764,-0.4958765548224985,-177492.00924409545,2387118454.4035015,-0.46654784905139435,-312920121.6103467
FRair_tri,62.73179460749418,60.014744112360475,44.12553511949762,60.1335963629216,62.727825450436036,145.10278351471612,124.14187773308707,60.13341645817376,91.94783982946466
FRwater,12740152927.030024,-0.0005623904736939004,-83588.3684972821,0.0001811349179396867,0.00029091124412184365,-27531.01664155159,250711391.27740178,0.0006284506849444154,633929595.9759917
FRair*FRwater,-16944102816.442184,-0.12071314086706228,55958.74098093583,-0.29763490028645473,-0.32008614329269813,-1609790.8520632188,-3560688560.1459017,-0.39645307509808225,-770564362.1461314
FRair_sq*FRwater,46.7027136569071,61.1407842196924,11.543606785601984,60.85906539450234,58.99735040592045,65.5009081746207,38.764939221855876,53.29332169006264,52.9391232470938
FRwater_sq,-7380229566.449015,0.310771277156969,-57204.02663481773,0.039475618755720004,0.0197778981947979,315166.04917296243,-1179372699.5322912,-0.1064082828599497,-308538051.3779518
FRair*FRwater_sq,-22.60578462956018,-20.25132852522845,7.275371735518866,41.65417158926399,58.59930372134144,15.900916000394352,7.711103345885087,41.99145071267756,43.5739347121977
FRwater_tri,0.9855917988594486,-41.38081438793297,58.808701997192216,-33.09051131940187,-42.857073141716725,-16.18909295622046,0.29075474625911524,-1.5773390698045244,-22.319126268358428
Twb,-2512221712.097805,-2.1968316055165302e-11,52196.26399226117,2.489786155022795e-12,8.046008304061719e-12,-264879.4482386489,1525449692.2377665,1.8028245563073178e-11,1640010404.6980882
FRair*Twb,-2977752512.264523,0.016768112536592175,86008.90128776939,0.018784468920216648,0.01910381139612771,198361.86427054388,574028865.2090791,0.020621839329610314,781373717.6252073
FRair_sq*Twb,2504590719.65245,-8.105731688711852,-6017.415666086798,-8.079178743472763,-8.390231314543543,10469.799565250074,-141082666.63625476,-7.89398961238335,18494085.51072817
FRwater*Twb,-773341546.1555477,-0.009515645406610965,21704.5966345937,0.0030648025459744013,0.00492222083316007,36559.81354086892,-1004395300.5781987,0.010633383539250519,378955312.40050036
FRair*FRwater*Twb,1001424514.740334,-2.0424663404691055,-3307.762920709079,-5.035982509369188,-5.415857553037661,95135.42215493807,210442583.28454396,-6.70798602730463,45541622.42482982
FRwater_sq*Twb,436183782.64976597,5.258250007950241,3374.9772641964278,0.6679274658201533,0.3346420373725317,-18624.865540380422,69702878.7282945,-1.8004281457861904,18235110.47574415
Twb_sq,31579013995.58142,-2.951416887284017e-11,31367.29234272331,3.113598269761145e-11,1.273292588515606e-11,4712454.280369619,-35054352529.02114,2.3701929308311858e-11,-51456270100.83499
FRair*Twb_sq,176277081.50057063,0.2837164638080256,-5087.7870405842,0.3178332134659158,0.32323648890384676,-11738.705073664858,-34192712.104667716,0.3489215203494515,-46160901.868477814
FRwater*Twb_sq,1204339.4545011965,-0.16100472034579252,-990.6803156230825,0.05185645883188597,0.08328397641976883,-2064.5990654845064,58485688.06428205,0.17991684967459007,-24611205.66360774
Twb_tri,26101.803569495678,0.0,-13589228.680389404,0.0,-1.4210854715202004e-14,87525228.11111602,-5979.3202385902405,4.440892098500626e-15,28593.966333389282
Tr,-357784924.267755,-1.4599669186316415e-05,-24583.437085202477,-1.216710569620835e-05,-1.8352009608495186e-05,2984.2558335529225,-23936691.051341493,8.006070658595815e-05,-30869548.697571963
FRair*Tr,419840751.1548319,0.005801153920446433,2272.217684139925,0.004123134382984032,0.007464649486926419,35565.16393535709,69605629.7228613,-0.011325779550970541,240411714.3328445
FRair_sq*Tr,2.55814040898536,2.4931904508399243,2.6860481391445505,2.296021942465287,2.4227014597813032,-8.336835975720268,0.14643113702351035,-0.6706739876453742,0.10138303551369016
FRwater*Tr,-154738224.47251675,0.0014420503352927682,2054.4114239395267,-0.007124672897948802,-0.014927741090810213,20634.00900542312,232160179.83584514,-0.036002951656161734,-119087211.23042075
FRair*FRwater*Tr,-3.9484027579411425,-7.63944313724826,-3.465691735179881,-7.509074074080693,-6.999237155800454,7.8276531392685715,4.522061180451756,9.237208344017441,10.110977743640463
FRwater_sq*Tr,-0.6372366767551286,4.699691516531415,-3.998637096031401,5.158096795826195,6.1351861673946235,7.48725728386139,4.5549694600719715,1.0099606427837353,2.3410383777266004
Twb*Tr,-5041370880.726591,-0.00024702647918485257,-327368.4701635415,-0.00020586748748785207,-0.0003105161172407562,11830.974651081146,3155000006.6274066,0.0013546270564589354,-3734892264.5477943
FRair*Twb*Tr,-24813283.217607576,0.09815552434017416,-134.37772798639537,0.06976343374762943,0.1263018692782479,-2101.680656024279,-4113808.0788490702,-0.19163218992323355,-14208730.646411238
FRwater*Twb*Tr,9145285.262567623,0.02439949154631708,-120.66387277639356,-0.12054946550420266,-0.2525773792641513,-1220.6692191520522,-13721051.499807691,-0.6091699419454728,7038250.424396435
Twb_sq*Tr,299203106.4895957,-0.004179687135887843,19433.86385780315,-0.003483277502107419,-0.0052539338493019245,-709.6158037877921,-186382110.4133994,0.022920292295366424,220846141.04871246
