"Date","Excel Time","CT Enable (2)","CT Enable (3)","CT Enable (4)","CT Enable (5)","CT Enable (6)","CT Enable (7)","CT Enable (8)","CT Enable (9)","CT Enable"
"7/4/2018 11:54:03.080 AM PDT","43285.49586898148","","","","","","0","0","0",""
"7/4/2018 11:54:04.020 AM PDT","43285.49587986111","","0","","","","","","",""
"7/4/2018 11:54:04.060 AM PDT","43285.49588032407","","","0","","","","","",""
"7/4/2018 11:54:04.090 AM PDT","43285.4958806713","","","","0","","","","",""
"7/4/2018 11:54:04.360 AM PDT","43285.49588379629","","","","","","","","","0"
"7/4/2018 11:54:04.400 AM PDT","43285.49588425926","0","","","","","","","",""
"7/4/2018 06:30:05.060 PM PDT","43285.77089189815","","","","","","","","1",""
"7/4/2018 06:30:05.140 PM PDT","43285.770892824075","","","","","1","","","",""
"7/4/2018 06:30:05.230 PM PDT","43285.770893865745","","","","","","","","","1"
"7/4/2018 06:30:05.260 PM PDT","43285.77089421297","1","","","","","","","",""
"7/4/2018 06:30:05.330 PM PDT","43285.770895023146","","","1","","","","","",""
"7/4/2018 06:30:05.370 PM PDT","43285.770895486115","","","","1","","","","",""
"7/4/2018 06:30:10.210 PM PDT","43285.77095150463","","","","","","1","","",""
"7/4/2018 06:30:10.300 PM PDT","43285.7709525463","","","","","","","1","",""
"7/4/2018 06:30:10.440 PM PDT","43285.77095416667","","1","","","","","","",""
"7/4/2018 09:16:31 PM PDT","43285.886469907404","","","","","","0","0","0",""
"7/4/2018 09:16:31.090 PM PDT","43285.88647094907","","","","","0","","","",""
"7/4/2018 09:16:32.020 PM PDT","43285.886481712965","","","0","","","","","",""
"7/4/2018 09:16:32.050 PM PDT","43285.88648206019","","","","0","","","","",""
"7/4/2018 09:16:32.320 PM PDT","43285.88648518518","","","","","","","","","0"
"7/4/2018 09:16:32.350 PM PDT","43285.88648553241","0","","","","","","","",""
"7/4/2018 09:16:32.390 PM PDT","43285.886485995376","","0","","","","","","",""
"7/4/2018 09:31:49.830 PM PDT","43285.89710451389","","","","","","","","1",""
"7/4/2018 09:31:49.900 PM PDT","43285.897105324075","","","","","1","","","",""
"7/4/2018 09:31:50.300 PM PDT","43285.8971099537","","","","","","","","","1"
"7/4/2018 09:31:50.340 PM PDT","43285.89711041667","1","","","","","","","",""
"7/4/2018 09:31:50.410 PM PDT","43285.89711122685","","","1","","","","","",""
"7/4/2018 09:31:50.450 PM PDT","43285.89711168982","","","","1","","","","",""
"7/4/2018 09:31:55.880 PM PDT","43285.897174537036","","","","","","1","1","",""
"7/4/2018 09:31:56.360 PM PDT","43285.897180092594","","1","","","","","","",""
"7/5/2018 02:46:05 AM PDT","43286.11533564815","","","","","","","","0",""
"7/5/2018 02:46:05.070 AM PDT","43286.11533645833","","","","","0","0","","",""
"7/5/2018 02:46:05.080 AM PDT","43286.115336574076","","","","","","","0","",""
"7/5/2018 02:46:05.300 AM PDT","43286.11533912037","","","","","","","","","0"
"7/5/2018 02:46:05.330 AM PDT","43286.11533946759","0","","","","","","","",""
"7/5/2018 02:46:05.370 AM PDT","43286.115339930555","","0","","","","","","",""
