Date,Excel Time,chwr,chws,CW Flow,CWR Temp,CWS Temp,Load,MOTOR KW
7/1/2018 12:00:00 PM PDT,43282.5,57,57.9,-2.5,74,69.6,0.23483962,0
7/1/2018 12:15:00 PM PDT,43282.51042,57.2,58,-1.2,74,69.6,0.24955036,0
7/1/2018 12:30:00 PM PDT,43282.52083,57.3,58.1,-2.5,74,69.7,0.23119813,0
7/1/2018 12:45:00 PM PDT,43282.53125,57.4,58.2,-2.5,74,69.7,0.23119777,0
7/1/2018 01:00:00 PM PDT,43282.54167,57.5,58.3,-2.5,74,69.8,0.22750838,0
7/1/2018 01:15:00 PM PDT,43282.55208,57.6,58.4,-1.2,74.1,69.8,0.23488753,0
7/1/2018 01:30:00 PM PDT,43282.5625,57.7,58.5,-2.5,74.1,69.9,0.22750838,0
7/1/2018 01:45:00 PM PDT,43282.57292,57.8,58.5,-1.2,74.1,69.9,0.23129392,0
7/1/2018 02:00:00 PM PDT,43282.58333,57.9,58.7,-2.5,74.2,70,0.23124601,0
7/1/2018 02:15:00 PM PDT,43282.59375,58,58.7,-1.2,74.2,70.1,0.22760417,0
7/1/2018 02:30:00 PM PDT,43282.60417,58.1,58.8,-1.2,74.2,70.1,0.23498331,0
7/1/2018 02:45:00 PM PDT,43282.61458,58.2,58.9,-2.5,74.3,70.2,0.23129354,0
7/1/2018 03:00:00 PM PDT,43282.625,58.2,59,-2.5,74.4,70.3,0.23129354,0
7/1/2018 03:15:00 PM PDT,43282.63542,58.4,59.1,-1.2,74.4,70.2,0.2239144,0
7/1/2018 03:30:00 PM PDT,43282.64583,58.5,59.2,-3.8,74.4,70.3,0.23129354,0
7/1/2018 03:45:00 PM PDT,43282.65625,58.6,59.3,-2.5,74.4,70.3,0.23498367,0
7/1/2018 04:00:00 PM PDT,43282.66667,58.7,59.3,-1.2,74.5,70.5,0.22396266,0
7/1/2018 04:15:00 PM PDT,43282.67708,58.7,59.5,0.1,74.4,70.5,0.22401018,0
7/1/2018 04:30:00 PM PDT,43282.6875,58.8,59.5,-1.2,74.5,70.5,-0.009737492,0
7/1/2018 04:45:00 PM PDT,43282.69792,58.9,59.6,-2.5,74.6,70.5,0.22401018,0
7/1/2018 05:00:00 PM PDT,43282.70833,59,59.7,-2.5,74.7,70.6,0.22769994,0
7/1/2018 05:15:00 PM PDT,43282.71875,59.1,59.8,2.6,74.7,70.7,0.22410597,0
7/1/2018 05:30:00 PM PDT,43282.72917,59.2,59.9,-1.2,74.7,70.7,0.2350787,0
7/1/2018 05:45:00 PM PDT,43282.73958,59.3,60,-5.1,74.8,70.7,0.23876846,0
7/1/2018 06:00:00 PM PDT,43282.75,59.4,60.1,1.3,74.8,70.9,0.22410597,0
7/1/2018 06:15:00 PM PDT,43282.76042,59.4,60.2,-1.2,74.9,70.9,0.23148511,0
7/1/2018 06:30:00 PM PDT,43282.77083,59.5,60.2,-2.5,75,71,0.22410597,0
7/1/2018 06:45:00 PM PDT,43282.78125,59.6,60.4,-1.2,75,71.2,336.05505,0
7/1/2018 07:00:00 PM PDT,43282.79167,59.7,60.4,-2.5,75.1,71.3,325.13232,0
7/1/2018 07:15:00 PM PDT,43282.80208,59.8,60.6,-2.5,75.2,71.4,324.8179,0
7/1/2018 07:30:00 PM PDT,43282.8125,59.9,60.7,-2.5,75.2,71.5,339.80972,0
7/1/2018 07:45:00 PM PDT,43282.82292,59.9,60.7,-5.1,75.3,71.6,327.8638,0
7/1/2018 08:00:00 PM PDT,43282.83333,60,60.8,-1.2,75.4,71.7,330.99564,0
7/1/2018 08:15:00 PM PDT,43282.84375,60.1,60.9,-1.2,75.5,71.8,332.6816,0
7/1/2018 08:30:00 PM PDT,43282.85417,60.3,61,-1.2,75.6,71.9,314.2457,0
7/1/2018 08:45:00 PM PDT,43282.86458,60.3,61.1,-3.8,75.6,72,348.49246,0
7/1/2018 09:00:00 PM PDT,43282.875,60.4,61.2,1.3,75.7,72.1,341.1181,0
7/1/2018 09:15:00 PM PDT,43282.88542,60.5,61.3,-5.1,75.8,72.2,356.96313,0
7/1/2018 09:30:00 PM PDT,43282.89583,60.5,61.4,0.1,75.9,72.3,323.0012,0
7/1/2018 09:45:00 PM PDT,43282.90625,60.6,61.5,-1.2,76,72.4,332.62442,0
7/1/2018 10:00:00 PM PDT,43282.91667,60.7,61.5,1.3,76.1,72.5,322.30923,0
7/1/2018 10:15:00 PM PDT,43282.92708,60.8,61.6,0.1,76.1,72.5,361.8369,0
7/1/2018 10:30:00 PM PDT,43282.9375,60.9,61.7,2.6,76.2,72.5,362.01535,0
7/1/2018 10:45:00 PM PDT,43282.94792,60.9,61.8,-1.2,76.3,72.4,352.09033,0
7/1/2018 11:00:00 PM PDT,43282.95833,61,61.9,-1.2,76.3,72.3,325.88986,0
7/1/2018 11:15:00 PM PDT,43282.96875,61.1,61.9,0.1,76.4,72.3,348.99557,0
7/1/2018 11:30:00 PM PDT,43282.97917,61.2,62.1,-1.2,76.5,72.1,368.09604,0
7/1/2018 11:45:00 PM PDT,43282.98958,61.2,62.1,-5.1,76.5,71.8,348.88004,0
7/2/2018 12:00:00 AM PDT,43283,61.4,62.3,-1.2,76.6,72.1,348.41528,0
7/2/2018 12:15:00 AM PDT,43283.01042,61.4,62.3,-3.8,76.7,72,363.45834,0
7/2/2018 12:30:00 AM PDT,43283.02083,61.5,62.4,-1.2,76.7,71.9,379.57858,0
7/2/2018 12:45:00 AM PDT,43283.03125,61.6,62.5,-5.1,76.8,71.7,356.40634,0
7/2/2018 01:00:00 AM PDT,43283.04167,61.6,62.5,-5.1,76.8,71.6,338.60043,0
7/2/2018 01:15:00 AM PDT,43283.05208,61.7,62.6,-5.1,76.9,71.6,368.37772,0
7/2/2018 01:30:00 AM PDT,43283.0625,61.8,62.7,-1.2,76.9,71.4,354.8181,0
7/2/2018 01:45:00 AM PDT,43283.07292,61.8,62.8,-1.2,77,71.3,367.07352,0
7/2/2018 02:00:00 AM PDT,43283.08333,61.9,62.9,-5.1,77,71.1,364.6711,0
7/2/2018 02:15:00 AM PDT,43283.09375,62,62.9,-2.5,77.1,70.9,365.44656,0
7/2/2018 02:30:00 AM PDT,43283.10417,62,63,-3.8,77.1,70.8,367.74048,0
7/2/2018 02:45:00 AM PDT,43283.11458,62.1,63.1,-2.5,77.2,70.7,366.15945,0
7/2/2018 03:00:00 AM PDT,43283.125,62.2,63.1,-1.2,77.2,70.7,370.98474,0
7/2/2018 03:15:00 AM PDT,43283.13542,62.2,63.2,-3.8,77.2,70.7,363.4885,0
7/2/2018 03:30:00 AM PDT,43283.14583,62.3,63.3,-3.8,77.3,70.5,384.11337,0
7/2/2018 03:45:00 AM PDT,43283.15625,62.3,63.4,2.6,77.2,70.4,377.99716,0
7/2/2018 04:00:00 AM PDT,43283.16667,62.4,63.4,-2.5,77.3,70.4,389.94482,0
7/2/2018 04:15:00 AM PDT,43283.17708,62.5,63.5,-2.5,77.3,70,378.97256,0
7/2/2018 04:30:00 AM PDT,43283.1875,62.5,63.6,0.1,77.3,69.8,379.17178,0
7/2/2018 04:45:00 AM PDT,43283.19792,62.6,63.6,-3.8,77.3,70,372.5638,0
7/2/2018 05:00:00 AM PDT,43283.20833,62.7,63.7,0.1,77.3,69.9,374.0043,0
7/2/2018 05:15:00 AM PDT,43283.21875,62.7,63.8,0.1,77.3,69.8,372.8721,0
7/2/2018 05:30:00 AM PDT,43283.22917,62.8,63.8,1.3,77.2,69.7,378.82175,0
7/2/2018 05:45:00 AM PDT,43283.23958,62.9,63.9,0.1,77.1,68.9,305.72656,0
7/2/2018 06:00:00 AM PDT,43283.25,62.7,63.9,-1.2,77.1,68.8,300.6627,0
7/2/2018 06:15:00 AM PDT,43283.26042,62.8,64,-1.2,77,68.6,280.0305,0
7/2/2018 06:30:00 AM PDT,43283.27083,62.7,64,-3.8,77,68.7,303.34116,0
7/2/2018 06:45:00 AM PDT,43283.28125,62.7,64.1,-1.2,76.9,68.4,335.27097,0
7/2/2018 07:00:00 AM PDT,43283.29167,62.4,64.1,0.1,76.9,68.2,354.97818,0
7/2/2018 07:15:00 AM PDT,43283.30208,61.3,64.2,-1.2,76.8,68,436.65567,0
7/2/2018 07:30:00 AM PDT,43283.3125,61.7,64.3,0.1,76.8,67.8,431.88455,0
7/2/2018 07:45:00 AM PDT,43283.32292,60.5,64.3,-3.8,76.8,67.8,568.743,0
7/2/2018 08:00:00 AM PDT,43283.33333,59.1,64.4,-3.8,76.8,67.5,659.2983,0
7/2/2018 08:15:00 AM PDT,43283.34375,59.2,64.4,-5.1,76.8,67.4,759.6049,0
7/2/2018 08:30:00 AM PDT,43283.35417,58.9,64.4,1.3,76.7,67.3,775.1785,0
7/2/2018 08:45:00 AM PDT,43283.36458,56.9,64.5,1.3,76.7,67.3,963.3647,0
7/2/2018 09:00:00 AM PDT,43283.375,55.2,64.5,-2.5,76.6,67.2,1094.3901,0
7/2/2018 09:15:00 AM PDT,43283.38542,54.5,64.6,-2.5,76.7,67.3,1216.6814,0
7/2/2018 09:30:00 AM PDT,43283.39583,54,64.6,0.1,76.7,67.2,1254.0419,0
7/2/2018 09:45:00 AM PDT,43283.40625,53.6,64.7,0.1,76.7,67.2,963.1789,0
7/2/2018 10:00:00 AM PDT,43283.41667,53.5,64.7,-1.2,76.7,67.3,964.65283,0
7/2/2018 10:15:00 AM PDT,43283.42708,53.1,64.8,-3.8,76.7,67.4,999.9026,0
